,job_title,company_name,job_location,date,Big Data,C/C++,Cloud,DevOps,Excel,GitHub,Java/Scala,MATLAB,Machine Learning,Math,NLP,Python,R,REST,RapidMiner,Ruby,SAS,SPSS,SQL/databases,Stata,Visualisation,communication,consulting,date,leadership,problem solving,project_management
108,"Data Scientist – Analytics, Research and Pricing",Alberta Blue Cross,"Edmonton, AB",18 days ago,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,18 days ago,1,1,0
109,Data Scientist,BlueWave-ai,ai,30+ days ago,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,30+ days ago,0,0,1
110,Developer Analytics Data Scientist,Shopify,"Ottawa, ON",30+ days ago,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,30+ days ago,1,0,0
111,Epidemiologist/Data Scientist,LMC Diabetes & Endocrinology,"Toronto, ON",30+ days ago,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,30+ days ago,0,0,1
112,Senior Data Scientist,Primal,"Kitchener, ON",18 days ago,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,18 days ago,0,0,0
113,"Research Scientist, Burnaby, BC Canada",Ballard,"Burnaby, BC",7 days ago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7 days ago,0,0,0
114,Watson Health Imaging - Scientist (1 year Contract),IBM,"Toronto, ON",3 days ago,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,3 days ago,0,0,0
115,Data Scientist,Flinks,"Montréal, QC",1 day ago,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1 day ago,0,0,0
116,Senior Data Scientist,Cybera,"Edmonton, AB",save job,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,save job,0,1,0
117,Data Scientist Student,Suncor Energy Services,"Calgary, AB",5 days ago,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,5 days ago,0,1,0
118,Junior Data Scientist,The Meaney Lab at the Douglas Mental Health University Institute of McGill University,"Montréal, QC",save job,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
119,Data Scientist,FX Innovation,"Montréal, QC",save job,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
120,Computer Vision Data Research Scientist,Motion Gestures,Kitchener,save job,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,save job,0,1,0
121,Senior Analytical Scientist,CoreHR,"Toronto, ON",save job,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,save job,0,0,0
122,Research Scientist (FT),Waypoint Centre for Mental Health Care,"Penetanguishene, ON",2 days ago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2 days ago,1,0,0
123,Lead Data Scientist - App & Partner Platform,Shopify,"Toronto, ON",30+ days ago,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30+ days ago,1,0,0
124,Data Scientist,Groom & Associates,"Montréal, QC",28 days ago,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,28 days ago,0,0,0
125,Data Scientist,Loblaw Digital,"Toronto, ON",30 days ago,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,30 days ago,0,0,0
126,Senior Data Scientist (Medical Underwriting),Manulife,"Toronto, ON",10 days ago,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,10 days ago,1,1,0
127,Data Scientist,SPORTLOGiQ,"Montréal, QC",save job,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,save job,0,0,0
128,Data Scientist,Comprehend,"Montréal, QC",30+ days ago,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,30+ days ago,0,0,0
129,Data Scientist (Manager),LoyaltyOne,"Toronto, ON",11 days ago,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,11 days ago,0,0,0
130,Senior Data Scientist,Shopify,"Waterloo, ON",30+ days ago,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,30+ days ago,0,0,0
131,Data Scientist,Stradigi AI,"Montréal, QC",15 days ago,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,15 days ago,0,0,0
132,AI/Machine Learning Scientist - Toronto,LG Electronics,"Toronto, ON",22 hours ago,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,22 hours ago,1,0,0
133,Data Scientist/Machine learning,Huawei Canada,"Vancouver, BC",30+ days ago,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,30+ days ago,1,0,0
